title,price,rating,reviews,availability
"AA Products Gaming Chair High Back Ergonomic Computer Racing Chair Adjustable Gamer Chair with Footrest, Lumbar Support Swivel Chair – BlackPurple",$134.90,4.2 out of 5 stars,340 ratings,In Stock
"Xbox Elite Series 2 Core Wireless Gaming Controller – White – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",$106.99,4.3 out of 5 stars,"42,575 ratings",In Stock
"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,280.77",4.3 out of 5 stars,"1,421 ratings",In Stock
"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i9-14900KF 3.2GHz, GeForce RTX 4070 Super 12GB, 32GB DDR5, 2TB PCIe Gen4 SSD, WiFi Ready & Windows 11 Home (GXiVR8080A38)","$1,839.99",4.3 out of 5 stars,100 ratings,In Stock
"Frigidaire EFMIS179 Gaming Light Up Mini Beverage Refrigerator, Stealth",$52.99,3.9 out of 5 stars,662 ratings,In Stock
"Sceptre Curved 24.5-inch Gaming Monitor up to 240Hz 1080p R1500 1ms DisplayPort x2 HDMI x2 Blue Light Shift Build-in Speakers, Machine Black 2023 (C255B-FWT240)",$149.97,4.4 out of 5 stars,"6,724 ratings",In Stock
"LED Light Bar, Music Sync RGB IC Light Bar, USB Ambient Lamp, Color Changing Gaming TV Backlight with Remote Control, 15 Dynamic Modes for Room Gaming Decoration",$15.99,4.2 out of 5 stars,115 ratings,In Stock
"RGB Gaming Headphones Stand with 2 USB Ports Headset Stand with 10 Light Modes and Non-Slip Rubber, Suitable for All Earphone Accessories, Best Gift for Husband, Kids, Boyfriend",$22.99,4.1 out of 5 stars,132 ratings,In Stock
"Exquisite Gaming: Call of Duty: Monkeybomb - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure",$24.99,4.8 out of 5 stars,"1,543 ratings",In Stock
"GTRACING 55 Inch Gaming Desk, Computer Gamer Desk with Monitor Stand, Ergonomic Carbon Fiber Surface Gaming Table with Power Outlet and Mouse Pad for Home Office, RGB",$84.58,4.3 out of 5 stars,186 ratings,In Stock
Oilway Blue-Light Blocking Glasses Computer Reading/Gaming/TV/Phones Glasses Fashion Anti Eyestrain UV Glasses for Women Men,$13.99,4.5 out of 5 stars,"4,586 ratings",In Stock
"LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG), with HDR 10 Compatibility, NVIDIA G-SYNC, and AMD FreeSync, 144Hz, Black",$189.99,4.6 out of 5 stars,"12,033 ratings",In Stock
Large RGB Gaming Mouse Pad -15 Light Modes Touch Control Extended Soft Computer Keyboard Mat Non-Slip Rubber Base for Gamer Esports Pros 31.5X11.8,$9.99,4.6 out of 5 stars,"4,377 ratings",In Stock
"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",$799.99,4.4 out of 5 stars,355 ratings,In Stock
"Logitech G PRO X SUPERLIGHT 2 LIGHTSPEED Wireless Gaming Mouse, 8K Polling, Lightweight, LIGHTFORCE Hybrid Switches, HERO 2 Sensor, 888 IPS, 44,000 DPI, 5 Programmable Buttons,USB-C Charging, PC & Mac",$130.04,4.5 out of 5 stars,972 ratings,Not Available
"3-in-1 PC Gaming Headset&Controller Holder - EURPMASK Headphone Stand w/Adjustable Clamp&2 Controller Holder&Rotating Arm&Cable Organizer, Universal PC Gaming Accessory Controller Headset Stand-Black",$14.79,4.5 out of 5 stars,587 ratings,In Stock
Abstract Topographic Map White Grey Black Gaming Mouse Pad Long Mouse Pad Large Desk Mat 31.5 X 11.8 Inch Mousepad with Non-Slip Base Stitched Edge Keyboard Mat for Gaming Office,$8.80,4.5 out of 5 stars,258 ratings,In Stock
"Gaming Microphone, USB PC Mic for Podcasts Videos, Streaming, Condenser Mic with Quick Mute, Tripod Stand, Pop Filter, RGB Indicator, Shock Mount, Rotate gain button, Compatible with PS4/5/PC",$29.99,4.3 out of 5 stars,"2,031 ratings",In Stock
"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)",$22.99,4.3 out of 5 stars,"107,492 ratings",In Stock
"Kavaas Gamer Neon Sign, Game Controller Neon Sign for Gamer Room Decor - Gaming Neon Sign for Teen Boy Room Decor, LED Game Neon Sign Gaming Wall decor - Best Gamer Gifts for Boys, Kids",$25.89,4.7 out of 5 stars,"3,044 ratings",In Stock
"Amazon Basics Square Mouse Pad, Cloth with Rubberized Base, Standard, Black",$8.99,4.6 out of 5 stars,"61,295 ratings",In Stock
"JBL Quantum 400 - USB over-ear gaming headset with game-chat balance dial, JBL QuantumSURROUND and DTS, Voice focus directional flip-up mic and memory foam ear cushions (Black)",$29.99,4.2 out of 5 stars,"2,980 ratings",Temporarily out of stock.
"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - for PC, Mac, PS4, PS5, Switch - 3.5mm Audio Jack - White",$38.99,4.5 out of 5 stars,"19,507 ratings",In Stock
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",$640.00,4.1 out of 5 stars,22 ratings,In Stock
"Govee Smart LED Light Bars, Work with Alexa and Google Assistant, RGBICWW WiFi TV Backlights with Scene and Music Modes for Gaming, Pictures, PC, Room Decoration",$34.99,4.6 out of 5 stars,"5,462 ratings",In Stock
"RGB Gaming Mouse Pad with Wireless Charging 10W - 31.5""x11.8"" X-Large Desk Mat for Laptop/PC/Keyboard, 9 Light Modes, Non-Slip Rubber Base, Waterproof, Black",$35.99,4.5 out of 5 stars,976 ratings,In Stock
"Pink 27 inch Curved Gaming Monitor 2K 165Hz, QHD 1440P,1800R LED Display,Pink Computer Monitor,1ms (MPRT),FreeSync,Eye-Care Technology, DP, HDMI Port for Gaming Home Office,VESA(75mm*75mm)",$239.99,3.9 out of 5 stars,84 ratings,In Stock
"Reading Pillow for Gaming, Extra Large Arm Rest Pillow for Adult, Memory Foam Bed Rest Pillow for Reading, Working, Playing Steam Deck Switch or Sitting in Bed Floor Sofa(Grey)",$59.99,4.2 out of 5 stars,"1,212 ratings",In Stock
"Gaming Sock, Do Not Disturb I'm Gaming,Gaming Socks for Teen Boys Gamer with Glowing, Novelty Socks for Men Dad Father Women",$6.79,4.5 out of 5 stars,402 ratings,In Stock
"AOC 24G15N 24"" Gaming Monitor, Full HD 1920x1080, 180Hz 1ms, 1x HDMI 2.0, 1x Display Port, Adaptive-Sync, 3-Sided Frameless, HDR Ready, Console Gaming Ready, 3-Year Zero-Bright-Dot",$109.99,4.6 out of 5 stars,"17,813 ratings",In Stock
"Corsair VOID RGB ELITE Wireless Gaming Headset - 7.1 Surround Sound - Discord Certified - iCUE Compatible - PC, Mac, PS5, PS4 - White",$103.10,4.3 out of 5 stars,"22,929 ratings",In Stock
"Curved Monitor - 30 Inch Ultra Wide Monitor 200Hz WFHD, 1800R Curved Gaming Monitor 2560x1080p, 1ms, 100% sRGB, FreeSync, HDMI DP Display, Dual Speakers, VESA, PC Monitor with Rainbow Lights",$219.99,4.1 out of 5 stars,300 ratings,Not Available
"Game Ambient Smart Lighting, Gaming Monitor LED Backlight, LED Ambient Lights for Computers Screen Color & Music & Game Sync LED Strip Lights via Software Control (27"" Screen)",$29.99,4.5 out of 5 stars,12 ratings,In Stock
"Small Gaming Desk with 2 Fabric Drawers - Reversible Computer Desk with Power Outlet & LED Lights, 49"" Office Desk with Monitor Stand & Storage Shelves, Writing Study Table with Pegboard, Black",$119.99,4.1 out of 5 stars,29 ratings,In Stock
"Hexagon Lights (8 Pack) LED Wall Panels, TISOFU RGB Gaming Lights with APP, Smart Modular Panel Hex Tiles Push Glide Expansion Shapes Lights",$39.98,4.3 out of 5 stars,431 ratings,In Stock
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,$54.29,4.6 out of 5 stars,"12,553 ratings",In Stock
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",$96.95,4.6 out of 5 stars,"31,396 ratings",
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",$96.95,4.6 out of 5 stars,"53,206 ratings",
"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-12650H, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B12VE-2023US",$869.69,4.3 out of 5 stars,867 ratings,In Stock
"Japanese Gaming Mouse Pad Black Mouse Pad Kanagawa Large Mousepad Non-Slip Rubber Base Waterproof with Stitched Edges for Gaming Office Home, 31.5x11.8 Inch (Black Wave)",$13.66,4.7 out of 5 stars,305 ratings,In Stock
"Bestier Computer Desk with Reversible Power Outlets, 55 inch LED Gaming Desk with Monitor Stand & Adjustable Shelves, Writing Desk with Cup Holder & Hook for Home Office, Retro Grey Oak-Light",$149.99,4.7 out of 5 stars,63 ratings,In Stock
"iBUYPOWER Trace 7 Mesh Gaming PC Computer Desktop TMA7N3501 (AMD Ryzen 7 5700, RTX 3050 6GB, 16GB DDR4 RGB 3200MHz (8x2), 1TB NVMe, WiFi Ready, Windows 11 Home Advanced)",$799.99,4.2 out of 5 stars,44 ratings,In Stock
"34 Inch Ultrawide Curved 144Hz Gaming Computer Monitor 1500R PC Screen、21:9 UWQHD (3440x1440),Adaptive Sync,178° Viewing Angle,Display Port、HDMI,Compatible with Wall mounting - Black",$199.99,4.4 out of 5 stars,73 ratings,In Stock
"Logitech G920 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for Xbox Series X|S, Xbox One, PC, Mac - Black",$22900,4.6 out of 5 stars,"20,854 ratings",
"Large Gaming Mouse Pad, Technological Nebula Style Professional Gaming Mousepad, Non-Slip Waterproof Rubber Base Mouse Pad for Gaming & Office & Home, 31.5 x 11.8inch Full Desk Mouse Pad",$5.99,4.6 out of 5 stars,137 ratings,In Stock
"Razer Barracuda X Wireless Gaming & Mobile Headset (PC, PlayStation, Switch, Android, iOS): 2.4GHz Wireless + Bluetooth - Lightweight - 40mm Drivers - Detachable Mic - 50 Hr Battery - Mercury White",$99.00,4.1 out of 5 stars,"3,101 ratings",In Stock
"Xbox Core Wireless Gaming Controller – Carbon Black – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",$44.49,4.6 out of 5 stars,"77,818 ratings",Not Available
"Casaottima L Shaped Gaming Desk, Corner Desk Gaming Table for Home Office, Computer Desk Sturdy Writing Workstation for Small Space, Easy to Assemble, 51 inch, Carbon Fiber Surface, Black",$65.28,4.5 out of 5 stars,897 ratings,In Stock
"Acer Nitro 27"" 1500R Curved Full HD PC Gaming Monitor | AMD FreeSync Premium | 240Hz | 1ms VRB | Speakers | HDR10 | ErgoStand | VESA Mounting Compliant | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ270 X2bmiiphx",$159.99,4.6 out of 5 stars,"2,010 ratings",In Stock
"Hasbro Gaming Jenga Classic Game with Genuine Hardwood Blocks,Stacking Tower Game for 1 or More Players,Kids Ages 6 and Up",$7.49,4.8 out of 5 stars,"98,852 ratings",In Stock
"Paladone Playstation Controller Icons Light with 3 Light Modes - Sound Reactive, Dynamic Phasing, and Standard Mode - Gaming Desk Accessories and Game Room Decor",$21.99,4.7 out of 5 stars,"35,775 ratings",In Stock
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Keyboard, Gasket Mount RGB Custom Keyboard, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",$69.99,4.6 out of 5 stars,541 ratings,In Stock
"Sceptre IPS 24” Gaming Monitor 165Hz 144Hz Full HD (1920 x 1080) FreeSync Eye Care FPS RTS DisplayPort HDMI Build-in Speakers, Machine Black 2020 (E248B-FPT168),IPS 24"" 165Hz",$119.67,4.5 out of 5 stars,"5,387 ratings",In Stock
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",$114.99,4.5 out of 5 stars,"2,627 ratings",In Stock
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",$180.54,4.5 out of 5 stars,"11,980 ratings",In Stock
"Logitech G Pro X Wired Gaming Headset: Blue VO!CE Detachable Boom Mic, DTS 7.1, 50 mm Drivers, USB/3.5mm Aux, Spare Memory Foam Ear Pads, USB DAC & Bag Included, for PC, Xbox, PS5, PS4 - Black",$64.82,4.4 out of 5 stars,"6,397 ratings",In Stock
"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black",$86.00,4.4 out of 5 stars,"16,677 ratings",Not Available
"MageGee 75% Mechanical Gaming Keyboard with Blue Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Blue/White",$29.99,4.2 out of 5 stars,"3,139 ratings",In Stock
"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",$129.95,4.6 out of 5 stars,"12,543 ratings",
"Acer Nitro V Gaming Laptop | AMD Ryzen 7 8845HS Octa-Core AI Capable Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | ANV16-41-R5J0",$959.99,4.3 out of 5 stars,461 ratings,In Stock
